Série,Composé,SMILES,pEC50,Emax
HGA-06,HGA-0665,C14=C(SC(C(=O)O)=C1)C=C(NCCC3CC(C2=C(O)C=C(I)C=C2)C3)O4,8.5,75
HGA-06,HGA-0621,C14=C(SC(C(=O)O)=C1)C=C(NCCC3CC(C2=C(O)N=C(I)C=N2)C3)O4,8.1,61
HGA-06,HGA-0687,C14=C(SC(C(=O)O)=C1)C=C(N(CCC3CC(C2=C(O)N=C(I)C=N2)C3)C)O4,7.1,27
HGA-06,HGA-0648,C14=C(SC(C(=O)O)=C1)C=C(NCCC3CC(C2=CN=C(I)C=N2)C3)O4,6.2,83
HGA-06,HGA-0699,C14=C(SC(C(=O)O)=C1)C=C(NCCC3CC(C2=C(O)C=C(C(F)(F)F)C=C2)C3)O4,4.5,72
HGA-06,HGA-0642,C14=C(SC(C(=O)O)=C1)C=C(NCCC3C(C)(C)C(C2=C(O)N=C(I)C=N2)C3)O4,8.9,47
HGA-06,HGA-0695,C14=C(SC(C(=O)O)=C1)C=C(NCCC3C(O)(C)C(C2=C(O)N=C(I)C=N2)C3)O4,8.2,52
HGA-06,HGA-0632,C14=C(SC(C(=O)O)=C1)C=C(NCCC3C(O)(C)C(C2=C(O)N=C(I)C=C2)C3)O4,7.4,55
HGA-06,HGA-0613,C14=C(SC(C(=O)O)=C1)C=C(NCCC3C(O)(C)C(C2=C(O)C=C(I)C=N2)C3)O4,7.7,62
HGA-06,HGA-0628,C14=C(SC(C(=O)O)=C1)C=C(NCCC3C(O)(C)C(C2=C(O)C=C(I)C=C2)C3)O4,6.6,37
HGA-18,HGA-1843,C(C(=O)O)C1=CC=C2C(=C1C#N)CSC(=O)N2CC4=CNC(C3=CC=CC=C3Cl)=N4,7.5,30
HGA-18,HGA-1882,C(C(=O)O)C1=CC=C2C(=C1C#N)CSC(=O)N2CC4=CNC(C3=CC=CC(Cl)=C3)=N4,7.8,23
HGA-18,HGA-1873,C(C(=O)O)C1=CC=C2C(=C1C#N)CSC(=O)N2CC4=CNC(C3=CC=C(Cl)C=C3)=N4,7.4,28
HGA-18,HGA-1810,C(C(=O)O)C1=CC=C2C(=C1C#N)CSC(=O)N2CC4=CNC(C3=CC=CC=C3)=N4,4.8,52
HGA-18,HGA-1852,C(C(=O)O)C1=CC=C2C(=C1C#N)CSC(=O)N2CC4=CNC(C3=C(C)C=CC=C3)=N4,8.1,34
HGA-18,HGA-1829,C(C(=O)O)C1=CC=C2C(=C1C#N)CSC(=O)N2CC4=CNC(C3=CC(C)=CC=C3)=N4,7.8,27
HGA-18,HGA-1808,C(C(=O)O)C1=CC=C2C(=C1C#N)CSC(=O)N2CC4=CNC(C3=CC=C(C)C=C3)=N4,7.1,29
HGA-18,HGA-1851,C(C(=O)O)C1=CC=C2C(=C1C#N)CSC(=O)N2CC4=CNC(C3=C(Cl)C=CC=N3)=N4,8.6,55
HGA-35,HGA-3534,O=C(O)CC3=CC=CC(CNC(=O)NCC2=C(C)NC(C1=CC=C(Br)C=C1)=N2)=C3,8.2,54
HGA-35,HGA-3586,O=C(O)CC3=CC=CC(CNC(=O)NCC2=C(C)N(C)C(C1=CC=C(Br)C=C1)=N2)=C3,7.5,98
HGA-35,HGA-3579,O=C(O)CC3=CC=CC(CNC(=O)N(CC2=C(C)NC(C1=CC=C(Br)C=C1)=N2)C)=C3,4.5,48
HGA-35,HGA-3574,O=C(O)CC3=CC=CC(CN(C(=O)NCC2=C(C)NC(C1=CC=C(Br)C=C1)=N2)C)=C3,6.2,87
HGA-35,HGA-3522,O=C(O)CC3=CC=CC(CN(C(=O)NCC2=C(C)N(C)C(C1=CC=C(Br)C=C1)=N2)C)=C3,7.1,110
HGA-35,HGA-3582,O=C(O)CC3=CC=CC(CNC(=O)N(CC2=C(C)N(C)C(C1=CC=C(Br)C=C1)=N2)C)=C3,5.1,75
HGA-35,HGA-3590,O=C(O)CC3=CC=CC(CN(C(=O)N(CC2=C(C)N(C)C(C1=CC=C(Br)C=C1)=N2)C)C)=C3,8.7,82
HGA-35,HGA-3565,O=C(O)CC3=CC=CC(CNC(=O)NCC2=C(C)NC(C1=CC=C(I)C=C1)=N2)=C3,8.8,57
HGA-35,HGA-3504,O=C(O)CC3=CC=CC(CNC(=O)NCC2=C(C)NC(C1=CC=C(C(F)(F)F)C=C1)=N2)=C3,8.3,47
